"store_id","ds","product_id","goods_id","goods_name","sale_num","income","cost","profit","profit_rate","preferential_money","point_money","full_money","stock_turnover_day","create_time","update_time"
21,2018-01-05 00:00:00,155,4335316,"老板（Robam）欧式触控吸油烟机燃气灶电烤箱 8325+56B0+R070",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,146,4335354,"老板（Robam）大吸力 免拆洗触控侧吸式吸油烟机 CXW-200-26A5",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,151,4370072,"老板（Robam）66A2+33B7+R070 欧式抽油烟机燃气灶电烤箱套装",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,687,4370056,"老板（Robam）27A3+33B7+R070 侧吸式抽油烟机燃气灶电烤箱套装",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,227,4320887,"老板（Robam）5360+33B7 侧吸式抽油烟机燃气灶具套装",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,283,4368036,"老板（Robam）大吸力 免拆洗侧吸式抽油烟机 CXW-200-5360",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,152,4347788,"老板（Robam）66A1+58B5+R070 欧式吸油烟机燃气灶电烤箱套装",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,298,4452786,"老板（Robam）大吸力 免拆洗触控侧吸式抽油烟机 CXW-200-26A5",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,697,4712456,"老板（Robam）8325+56B0+727 欧式抽油烟机燃气灶具消毒柜套装",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,422,4607549,"老板（Robam）26A5+58B5 侧吸式大吸力抽油烟机燃气灶具套装（液化气）",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,421,4607523,"老板（Robam）26A5+58B5 侧吸式大吸力抽油烟机燃气灶具套装",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,693,4582611,"老板（Robam）26A5+33B7 侧吸式抽油烟机燃气灶套装",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,692,4582599,"老板（Robam）8325+56B0+727 欧式触控大吸力抽油烟机燃气灶消毒柜套装",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,420,4528593,"老板（Robam）66A2+56G1 欧式抽油烟机燃气灶具套装",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,691,4528585,"老板（Robam）8325+56B0+727 欧式触控大吸力抽油烟机燃气灶消毒柜套装",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,191,4528559,"老板（Robam）26A5S+56B0+727 侧吸式抽油烟机燃气灶具消毒柜套装",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,404,4488531,"老板（Robam）25A3+33G9 侧吸式抽油烟机燃气灶具套装",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,442,4607569,"老板（Robam）26A5+58G6 侧吸式大吸力抽油烟机燃气灶具套装",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,423,4632481,"老板（Robam）8307+33B7 欧式抽油烟机燃气灶具套装",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,696,4712450,"老板（Robam）8325+56B0 欧式抽油烟机燃气灶具套装（天然气）",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,334,4712448,"老板（Robam）26A5+56B0+R030 侧吸式抽油烟机燃气灶具电烤箱套装",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,695,4712446,"老板（Robam）26A5+56B0 侧吸式抽油烟机燃气灶具套装（天然气）",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,322,4712438,"老板（Robam）26A5+58B5 侧吸式抽油烟机燃气灶具套装（液化气）",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,321,4712436,"老板（Robam）8325+58B5 欧式抽油烟机燃气灶具套装（液化气）",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,348,4712434,"老板（Robam）26A5+56B0+S270 侧吸式抽油烟机燃气灶具电蒸箱套装",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,320,4712432,"老板（Robam）26A5+56B0+727 侧吸式抽油烟机燃气灶具消毒柜套装",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,694,4632531,"老板（Robam）8325+56B0+727 欧式大吸力吸油烟机燃气灶消毒柜套装",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,690,4488507,"老板（Robam）8325+56B0+727 欧式触控大吸力抽油烟机燃气灶消毒柜套装",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,403,4488479,"老板（Robam）25A3+33B7 侧吸式抽油烟机燃气灶具套装",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,401,4488477,"老板（Robam）悦界系列 67A3+56B0+727 大吸力欧式触控抽油烟机燃气灶消毒柜套装",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,389,4420817,"老板（Robam）悦界系列 67A1+56G1 大吸力欧式触控抽油烟机灶具套装",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,233,4420773,"老板（Robam）27A3+56G1 侧吸式挥手感应抽油烟机燃气灶具套装（液化气）",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,392,4420631,"老板（Robam）66A1+56B0 大吸力 免拆洗触控欧式抽油烟机（液化气）",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,397,4420629,"老板（Robam）悦界系列 67A3+33B7 大吸力欧式触控抽油烟机灶具套装（液化气）",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,221,4420451,"老板（Robam）悦界系列 67A1+33B7 大吸力欧式触控抽油烟机灶具套装（液化气）",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,399,4420443,"老板（Robam）悦界系列 67A1+56B0 大吸力欧式触控抽油烟机灶具套装（液化气）",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,400,4420413,"老板（Robam）27A3+33G9 侧吸式挥手感应抽油烟机燃气灶具套装",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,390,4420399,"老板（Robam）26A5S+56B0+727 侧吸式抽油烟机燃气灶具消毒柜套装",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,231,4420851,"老板（Robam）悦界系列 67A1+56G1 大吸力欧式触控抽油烟机灶具套装（液化气）",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,217,4420853,"老板（Robam）27A3+56B0 侧吸式挥手感应抽油烟机燃气灶具套装（液化气）",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,225,4488465,"老板（Robam）悦界系列 67A3+33B7+727 大吸力欧式触控抽油烟机燃气灶消毒柜套装",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,188,4488459,"老板（Robam）8325+58B5 欧式抽油烟机燃气灶具套装",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-06 09:01:19,2018-01-06 09:01:19
21,2018-01-05 00:00:00,293,4480692,"老板（Robam）大吸力 免拆洗触控侧吸式抽油烟机（液化气） CXW-200-26A5",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-01-06 09:01:19,2018-01-06 09:01:19
